member_id,n_txns,first_txn,last_txn,days_since_last,active_span_days,lifetime_spend,avg_basket,points_balance,redemptions,channels_used,brands_used,main_brand,avg_gap_days,overdue_ratio,annualised_spend,tier,tier_rank,country,home_brand,email,flag_profile_conflicted,flag_shared_email
M11968,5,2023-11-11,2025-04-18,438,524,207.69,41.54,221.0,1,3,2,PulseEats,131.0,3.34,144.67,Platinum,4,US,PulseEats,member11968@example.com,false,false
M12014,7,2023-12-04,2025-07-23,342,597,433.39,61.91,788.0,0,3,3,PulseEats,99.5,3.44,264.97,Gold,3,IN,PulseEats,member12014@example.com,false,false
M12279,6,2024-10-04,2026-01-10,171,463,439.2,73.2,641.0,4,3,1,PulseHome,92.6,1.85,346.24,Silver,2,IN,PulseHome,member12279@example.com,false,false
M12622,4,2024-09-09,2025-09-28,275,384,274.12,68.53,564.0,1,2,2,PulseMart,128.0,2.15,260.56,Bronze,1,IN,PulseMart,member12622@example.com,false,false
M12640,4,2024-10-12,2025-10-24,249,377,214.42,53.61,376.0,0,2,1,PulseEats,125.7,1.98,207.59,Silver,2,US,PulseEats,member12640@example.com,false,false
M12778,7,2022-08-22,2025-06-29,366,1042,453.45,64.78,789.0,1,2,2,PulseHome,173.7,2.11,158.84,Bronze,1,US,PulseHome,member12778@example.com,false,false
M12810,6,2022-12-11,2025-05-08,418,879,433.93,72.32,749.0,1,3,2,PulseHome,175.8,2.38,180.19,Gold,3,IN,PulseHome,member12810@example.com,false,false
M12891,6,2024-05-17,2025-11-07,235,539,447.72,74.62,965.0,0,2,2,PulseMart,107.8,2.18,303.19,Silver,2,IN,PulseMart,member12891@example.com,false,false
M12902,6,2023-12-27,2025-06-13,382,534,334.6,55.77,618.0,1,3,1,PulseHome,106.8,3.58,228.71,Platinum,4,US,PulseHome,member12902@example.com,false,false
M12925,6,2024-08-13,2025-12-13,199,487,445.09,74.18,699.0,1,2,2,PulseEats,97.4,2.04,333.59,Gold,3,US,PulseEats,member12925@example.com,false,false
M13041,6,2024-12-05,2026-02-08,142,430,291.13,48.52,533.0,0,3,2,PulseEats,86.0,1.65,247.12,Silver,2,IN,PulseEats,member13041@example.com,false,false
M13284,5,2024-03-07,2025-06-09,386,459,210.62,42.12,369.0,0,2,1,PulseEats,114.8,3.36,167.49,Bronze,1,US,PulseEats,member13284@example.com,false,false
M13295,11,2025-03-08,2026-04-17,74,405,744.91,67.72,1409.0,1,3,2,PulseHome,40.5,1.83,671.34,Bronze,1,IN,PulseHome,member13295@example.com,false,false
M13641,6,2022-07-07,2025-03-03,484,970,429.51,71.58,901.0,1,3,1,PulseMart,194.0,2.49,161.62,Gold,3,US,PulseMart,member13641@example.com,false,false
M13883,4,2023-08-08,2025-07-05,360,697,256.07,64.02,449.0,0,2,1,PulseEats,232.3,1.55,134.1,Gold,3,IN,PulseEats,member13883@example.com,false,false
M14057,4,2023-05-14,2025-04-12,444,699,275.25,68.81,538.0,0,3,2,PulseHome,233.0,1.91,143.73,Silver,2,IN,PulseHome,member14057@example.com,false,false
M14435,4,2024-03-11,2025-04-30,426,415,352.87,88.22,725.0,0,2,2,PulseHome,138.3,3.08,310.36,Platinum,4,IN,PulseHome,member14435@example.com,false,false
M15283,4,2023-04-12,2025-05-01,425,750,159.88,39.97,284.0,1,2,1,PulseMart,250.0,1.7,77.81,Bronze,1,US,PulseMart,member15283@example.com,false,false
M15403,6,2021-05-24,2025-02-17,498,1365,345.44,57.57,643.0,0,2,2,PulseEats,273.0,1.82,92.37,Gold,3,SG,PulseEats,member15403@example.com,false,false
M15489,4,2022-09-16,2025-03-13,474,909,124.75,31.19,238.0,0,2,2,PulseHome,303.0,1.56,50.09,Silver,2,US,PulseHome,member15489@example.com,false,false
M15529,6,2024-09-30,2025-10-22,251,387,344.07,57.35,779.0,0,3,2,PulseMart,77.4,3.24,324.51,Silver,2,SG,PulseMart,member15529@example.com,false,false
