member_id,email,first_name,last_name,join_date,tier,brand,status,country,birth_date
M00001,member00001@example.com,First00001,Last00001,2021-07-14,Bronze,PulseEats,active,SG,1965-10-10
M00002,member00002@example.com,First00002,Last00002,2023-10-04,Bronze,PulseEats,active,US,1972-05-15
M00003,member00003@example.com,First00003,Last00003,2025-03-28,Silver,PulseEats,active,US,1986-02-16
M00004,member00004@example.com,First00004,Last00004,2021-08-28,Gold,PulseEats,active,SG,1968-04-01
M00005,member00005@example.com,First00005,Last00005,2022-08-24,Gold,PulseMart,active,AE,1985-08-29
M00006,member00006@example.com,First00006,Last00006,,Gold,PulseEats,active,US,1994-01-15
M00007,member00007@example.com,First00007,Last00007,,Platinum,PulseHome,churned,IN,1965-12-13
M00008,member00008@example.com,First00008,Last00008,2024-06-22,Bronze,PulseHome,active,US,1995-10-02
M00009,member00009@example.com,First00009,Last00009,2023-01-04,Gold,PulseMart,active,IN,1988-10-19
M00010,member00010@example.com,First00010,Last00010,2025-01-12,Bronze,PulseHome,active,IN,2002-08-30
M00011,member00011@example.com,First00011,Last00011,2022-12-15,Gold,PulseMart,inactive,US,2002-12-04
M00012,member00012@example.com,First00012,Last00012,2024-12-22,Silver,PulseMart,active,SG,1994-10-23
M00013,member00013@example.com,First00013,Last00013,2021-12-11,Bronze,PulseMart,active,IN,1993-02-07
M00014,member00014@example.com,First00014,Last00014,2022-09-07,Bronze,PulseHome,active,IN,1994-02-28
M00015,member00015@example.com,First00015,Last00015,2025-10-11,Silver,PulseMart,inactive,AE,1987-03-15
M00016,member00016@example.com,First00016,Last00016,2025-07-21,Bronze,PulseHome,active,US,1985-07-27
M00017,member00017@example.com,First00017,Last00017,2021-03-29,Silver,PulseHome,active,US,1982-04-13
M00018,member00018@example.com,First00018,Last00018,2022-01-04,Bronze,PulseHome,churned,US,2006-03-10
M00019,member00019@example.com,First00019,Last00019,2024-09-26,Bronze,PulseEats,active,GB,1989-11-10
M00020,member00020@example.com,First00020,Last00020,2026-01-22,Gold,PulseEats,inactive,IN,1967-10-04
M00021,member00021@example.com,First00021,Last00021,2024-10-23,Gold,PulseHome,active,GB,1967-08-23
M00022,member00022@example.com,First00022,Last00022,2022-10-08,Silver,PulseEats,active,US,1978-11-12
M00023,member00023@example.com,First00023,Last00023,2021-11-16,Bronze,PulseMart,churned,US,1977-06-01
M00024,member00024@example.com,First00024,Last00024,2021-09-03,Silver,PulseEats,active,SG,1996-05-11
M00025,member00025@example.com,First00025,Last00025,2024-06-28,Bronze,PulseHome,active,SG,1992-10-15
M00026,member00026@example.com,First00026,Last00026,2021-05-03,Bronze,PulseEats,active,US,1988-12-10
M00027,member00027@example.com,First00027,Last00027,2024-12-10,Silver,PulseHome,active,US,1970-07-31
M00028,member00028@example.com,First00028,Last00028,2021-02-06,Silver,PulseEats,active,SG,1997-11-10
M00029,member00029@example.com,First00029,Last00029,2026-01-06,Gold,PulseEats,inactive,IN,1965-03-24
M00030,member00030@example.com,First00030,Last00030,2024-12-10,Platinum,PulseEats,active,US,1984-05-25
M00031,member00031@example.com,First00031,Last00031,2021-04-17,Bronze,PulseHome,active,IN,2006-11-03
M00032,member00032@example.com,First00032,Last00032,2023-09-05,Gold,PulseHome,active,IN,1995-02-18
M00033,member00033@example.com,First00033,Last00033,2025-04-04,Gold,PulseHome,inactive,SG,1979-12-31
M00034,member00034@example.com,First00034,Last00034,2026-01-18,Bronze,PulseHome,inactive,GB,1992-11-27
M00035,member00035@example.com,First00035,Last00035,2021-11-01,Bronze,PulseMart,active,US,1973-12-24
M00036,member00036@example.com,First00036,Last00036,2024-08-31,Silver,PulseHome,active,IN,1995-06-19
M00037,member00037@example.com,First00037,Last00037,2026-02-05,Bronze,PulseHome,active,IN,2001-05-27
M00038,member00038@example.com,First00038,Last00038,2026-01-24,Gold,PulseMart,active,AE,1988-10-30
M00039,member00039@example.com,First00039,Last00039,2022-05-16,Platinum,PulseEats,active,IN,1991-10-13
